Request,Profession
where we get notebook?,stationary
I want 10 pencils,stationary
can I get marker pen?,stationary
I need chart paper,stationary
provide me colour pens?,stationary
want gel pens,stationary
need staple pins,stationary
sketch pens and  pencil colours,stationary
need stapler pins 24/6,stationary
want kores carbon paper,stationary
where we find glue stick,stationary
can I get A4 size envelop?,stationary
where we get wax colours,stationary
need register notebook A4 size,stationary
normal hb pencils,stationary
want apsara pencils,stationary
I want scissor,stationary
need card board,stationary
want cellotape transperent big size,stationary
can we get permanent marker pen,stationary
want red nd blue sketch,stationary
where we buy small notebooks,stationary
cellotape brown big size,stationary
small size staple pins,stationary
HB pencils,stationary
simple H pencils,stationary
need black sketches,stationary
normal pencils,stationary
need ball pen blue and black,stationary
want transperent file cover,stationary
need A4 sheets,stationary
where we get correction pen?,stationary
permanent marker pen,stationary
need file cover,stationary
need scientific calculator,stationary
A4 xerox paper 100 pcs,stationary
A4 sheets whole bundle,stationary
want cellotape small,stationary
need glitter pens,stationary
glitter tape,stationary
need some gel pens,stationary
want ball pen packets,stationary
need glue liquid,stationary
colour paper A4 size,stationary
A4 sheets complete packet,stationary
want stapler,stationary
need marking cloth,stationary
 need scissor small,stationary
need scissor big,stationary
need permanent pen marker,stationary
file cover printed,stationary
small register notebook,stationary
want 2 dozens A4 notebook,stationary
need some sketch pen packets,stationary
need black marker,stationary
want fevicol ,stationary
need gluestick large,stationary
want small white board,stationary
want duster,stationary
want colourful chart papers,stationary
need file tag,stationary
need red pen packets,stationary
want colourful ball pens packet,stationary
nearby stationary shop,stationary
nearby shop where we get stationary items,stationary
shop where we get register notebook,stationary
A4 sheets and colour pencils,stationary
want some packet of sketch pens,stationary
plzz provide gel pens packet,stationary
where we get colour chart papers?,stationary
need ball pens packet,stationary
I need A4 sheets,stationary
I want 10 chart papers,stationary
I need compass,stationary
want complete geometry set,stationary
I need calculator,stationary
want to purchase scientific calculator,stationary
want simple calculator with battery,stationary
I need a bundle of small register,stationary
need spiral register,stationary
where we bind our sheets,stationary
nearby shop for spiral binding,stationary
want scale small,stationary
need big scale,stationary
need pen pencil,stationary
where we buy mechanical pencil,stationary
nearby shop where we buy books,stationary
I want books ,stationary
want to purchase stationary item,stationary
need notebooks medium size,stationary
want basic stationary items like eraser sharpner,stationary
want practical file,stationary
I need file with thread,stationary
I want loose sheets A4 size,stationary
I need practice notebook,stationary
want to purchase card board,stationary
need a box of paper pins,stationary
want some paper clips,stationary
where we buy good quality notebook,stationary
need crayons,stationary
want oil postels,stationary
need wax colours,stationary
want some stickers,stationary
where we get carbon papers?,stationary
need double sided tape,stationary
I need higlighter & correction pens,stationary
I need letter pad,stationary
want to purchase pocket diary,stationary
want to buy plastic covers,stationary
need painting brush,stationary
where we get poster colour?,stationary
want to buy chalk,stationary
nearby shop to take printout,stationary
need brown cellotape,stationary
want transparent cellotape big,stationary
need permanent markers packet,stationary
want compass and foot square,stationary
need to buy complete geometry set,stationary
 I want paper holder,stationary
I want to buy drafter,stationary
need big scale,stationary
I want to purchase drawing sheets,stationary
from where we can buy a sheet holder?,stationary
I need painting colours,stationary
Can i have a cup of coffee?,Canteen
Can i have a cup of tea?,Canteen
i want a cappuccino,Canteen
please give me a burger,Canteen
i want a cheese pizza with extra cheese,Canteen
can i have a glass of water?,Canteen
i need some extra sauce over this burger,Canteen
can u please get me  a cold drink?,Canteen
i need muffins,Canteen
give me some cupcakes and chocolates,Canteen
i want french fries,Canteen
need pasta in red/white sauce,Canteen
i need noodles or chowmein,Canteen
i need momos,Canteen
can i have a salad?,Canteen
whats  in the menu today?,Canteen
please  get me some rice !,Canteen
i need fried chicken,Canteen
can i have some biscuits ,Canteen
need cookies or chocopies,Canteen
what's in the dessert tonight?,Canteen
i need some butter,Canteen
can i have a glass of buttermilk please?,Canteen
i need vanilla shake,Canteen
i need chocolate shake,Canteen
i need  strawberry shake,Canteen
i need blueberry shake,Canteen
i need  an orange juice,Canteen
i need a mango juice,Canteen
i need a glass of lemonade,Canteen
i need popcorns over here,Canteen
can i have a bowl of cornflakes?,Canteen
can i have an oreo shake?,Canteen
need some tissue paper,Canteen
can i have curd and rice ?,Canteen
i want a cake,Canteen
"want snacks like kurkure,puffcorns etc.",Canteen
i need some extra sugar in the coffee,Canteen
i need some extra sugar in the tea,Canteen
how much does this sweet cost?,Canteen
can you provide me chilled mineral water,Canteen
i want some sweetmeat,Canteen
give me a brown bread ,Canteen
need a cup of green tea,Canteen
need a cup of black tea,Canteen
need a cup of plain milk,Canteen
need toast with honey or butter,Canteen
need watermelon or mango slices,Canteen
need fish curry,Canteen
can  i have cold coffee,Canteen
can i have spring rolls,Canteen
i want mushroom manchurian,Canteen
i want an omlette,Canteen
i want a chocolate icecream,Canteen
i want a strawberry icecream,Canteen
i want a bowl of veg soup,Canteen
i want a bowl of non-veg soup,Canteen
i want chilly cheese ,Canteen
i want  pomagranate juice,Canteen
i want butterscotch milk,Canteen
i want mutton,Canteen
can i have hot chocolate?,Canteen
need a vegetable sandwich,Canteen
need a cheese sandwich,Canteen
need an egg sandwich,Canteen
i need a bread slice,Canteen
i need a bread omlette,Canteen
i want chilly chicken,Canteen
i need soda water,Canteen
i want cheese capsicum onion,Canteen
i want banana chips,Canteen
i want a plate full of  chicken biryani,Canteen
i need fried rice,Canteen
i need black sauce,Canteen
i need extra mayonnaise,Canteen
i need donuts,Canteen
i need cup noodles,Canteen
i want some ice cubes,Canteen
can i have something spicy ?,Canteen
i need grilled sandwich,canteen
where we get pakoda and colddrinks?,canteen
I want 10 pcs of samosa,canteen
can I get momo?,canteen
I need water bottle,canteen
provide me 2 samosa?,canteen
want tea,canteen
need garlic smaosa,canteen
aloo pratha and curd?,canteen
need crispy aloo bhujia,canteen
want btter naan,canteen
where we find lassi?,canteen
can I get banana shake?,canteen
where we get gajar halwa,canteen
need dal pakoda with green chtney,canteen
some sweets,canteen
want haldiram bhujia,canteen
I want gulab jamun,canteen
need moong dal halwa,canteen
want choclate icecream,canteen
can we get bhindi fry,canteen
want samosa and pakoras,canteen
where we buy samosa,canteen
full plate paneer tikka masala,canteen
grilled chiken,canteen
chicken kabab,canteen
half paneer butter masala,canteen
need tomato cream soup,canteen
hot and sour soups,canteen
need lemonade,canteen
want mango shake,canteen
need bread pakora,canteen
where we get chicken roll?,canteen
chicken roll double egg,canteen
need french fry,canteen
need dal tadka,canteen
mango shake,canteen
want masala tea,canteen
want ginger tea small,canteen
need full plate samosa,canteen
aloo tikki chaat,canteen
need some fruit salad,canteen
want peanut butter,canteen
need chicken chilly,canteen
maggi and fried rice,canteen
biscuits complete packet,canteen
want egg cutlet,canteen
need apple juice,canteen
sandwiches and some sauce,canteen
burger with chutney,canteen
need icecream,canteen
momos with soup,canteen
small cup of tea,canteen
want 2 dozens cookies,canteen
need some sugar for tea,canteen
need black coffee,canteen
want mughlai pratha,canteen
need lachha pratha,canteen
want egg biryani,canteen
want juice,canteen
want cakes and biscuits,canteen
need biryani and raita,canteen
need rolls and cutlets,canteen
want colourful candies,canteen
nearby cookies shop,canteen
nearby shop where we get light snacks,canteen
shop where we get chicken soup,canteen
noodles and veg manchurian,canteen
where do i get green tea?,canteen
i need minral water bottle,canteen
i need pure veg thali,canteen
need chips packet,canteen
I need finger chips,canteen
I want 10 cutlets,canteen
I need egg curry,canteen
want complete brekfast menu,canteen
I need coffee,canteen
want to purchase chicken pakora,canteen
want spicy noodles,canteen
I need a veg thali,canteen
need snacks,canteen
where we go for samosa,canteen
nearby shop for icecreams,canteen
need biscuits,canteen
want pakoras,canteen
need samosa,canteen
where we buy chips,canteen
nearby shop where we buy bakeries,canteen
I want momos,canteen
want to purchase samosa,canteen
where we get medicine?,medical
I want 10 paracetamol,medical
can I get dettol?,medical
I need disprin,medical
provide me some cotton,medical
want disposable gloves,medical
need ambulance,medical
feeling ill,medical
not feeling well,medical
want antiseptic solution,medical
i have headache,medical
where we get medicine for vomiting,medical
epinephrine autoinjector ,medical
diphenhydramine,medical
naproxen,medical
want ibuprofen,medical
I want smelling salt,medical
need hydrocortisone  ream,medical
calamine lotion for skin inflammation,medical
can we get anti-fungal cream,medical
want hydrogen peroxide,medical
where we buy diphenhydramine,medical
oral rehydration salts,medical
small size codeine,medical
anti-inflammatory pain killers,medical
i have stomach pain,medical
need antibiotics,medical
normal painkillers,medical
need syringes,medical
suffering from depression,medical
need surgical mask,medical
where we get medical help,medical
suffering from jaundice,medical
need ambulance,medical
need bandages,medical
need aspirin,medical
want eyewash,medical
want antiseptic solution for my friend,medical
nearby medical facilities,medical
dettol and savlon,medical
need some medical help,medical
want ball pen packets,medical
need glue liquid,medical
dressing of my wounds,medical
disposable gloves ,medical
want pocket mask,medical
need plastic tweezers,medical
adhesive bandages,medical
need dettol,medical
need permanent treatment for my skin problem,medical
having pack pain,medical
feeling unwell,medical
want antiseptic solution for my friend,medical
need urgent medical help,medical
need betadine,medical
want antiseptic solution,medical
need to check laboratory developed test,medical
want small otoscope,medical
want paracetamol,medical
want medicine for pain,medical
need file  of my medical reports,medical
how to cure tuberculosis,medical
want my BP checked,medical
nearby medical facilities,medical
need some x-ray report,medical
where to go for ultrasound,medical
suffering from heart disease,medical
want some packet of medical gloves,medical
plzz provide medicine for cough and cold,medical
where we get immunized,medical
need nebuliser,medical
I need syringes,medical
I want 10  medical gloves,medical
I need tracheal tube,medical
suffering from cancer,medical
I need walkers,medical
want to purchase infusion pump,medical
want pulse oximeters,medical
I need a bundle of cotton and gauze,medical
need ambulance,medical
where we go when we feel ill,medical
nearby medical facilities,medical
want first aid,medical
need aspirin,medical
need paracetamol ,medical
medicine for vomiting,medical
nearby shop where we buy medicines,medical
I want adhesive tape,medical
want to purchase surgical equipment,medical
please send medical stretchers & trolleys,medical
do you know where will i found catheter,medical
alcohol or non-alcohal antiseptic wipes,medical
suffering with viral fever,medical
need hydrogen peroxide,medical
want some bandages,medical
want gauze ,medical
want hospital stretchers.,medical
suffering with dengue,medical
want surgical table,medical
i need morphine,medical
i need bandages,medical
i need tincture solution,medical
can i have a syringe?,medical
want a cough syrup,medical
need a painkiller,medical
need anesthetic drugs,medical
i need sterile gloves,medical
i need sugar free tablets,medical
i want to have a health diagnoses,medical
i need kneecaps,medical
i want eye drops,medical
i need ear drops,medical
please give me sun screen lotion,medical
can i get a medicated soap,medical
can i have nose drops,medical
can i have an inhaler,medical
i need a pain reliever lotion,medical
i need oinments,medical
want plaster(medium sized),medical
i want scissors,medical
need alcohol free cleansing wipes,medical
need sticky tape,medical
i need a thermometer,medical
i need a skin rash cream,medical
i need antibiotics,medical
need some distilled water,medical
need an eye wash and eye bath,medical
i need antacids,medical
i need a sanetizer,medical
i need a hand wash,medical
i want a face mask,medical
i want rehydration medicines or syrups,medical
need some fungal infection inhibitors,medical
want  medicated oil,medical
i need a medicated shampoo ,medical
want a mouth wash,medical
want earbuds,medical
want toothpicks,medical
want leg braces,medical
want arm braces,medical
want a neck collar,medical
want vitamin capsules,medical
want eucalyptus oil,medical
want glucon-D,medical
want a pill crusher,medical
want steel medicine cups,medical
want blood collection tubes,medical
want contraceptives,medical
i need a stethoscope,medical
want eye dilating drops ,medical
want peroxide,medical
want needles,medical
i want medicated toothpaste,medical
i want strepsils tablets,medical
need nasal decongestants,medical
want forceps,medical
i want medical penlights,medical
i want urinal bags,medical
i want warmer bottles ,medical
want paraffin baths,medical
i want air bags,medical
i want disposable latex,medical
i want cardiac pacemaker,medical
need coagulation machines,medical
want dental instruments,medical
"want bladder control  pads,diapers",medical
want feminine hygiene products,medical
i want contact lenses,medical
need bath cubes,medical
